Swem Node, NZEM Substations that act as Grid Exit Points
MDN, BRB0331 DAR0111 KEN0331 KOE0331 KTA0331 MDN0141 MPE0331 MTO0331 WEL0331
HEN, ALB0331 ALB1101 HEN0331 HEP0331 HPI2201 SVL0331
OTA, BOB0331 BOB1101 GLN0331 GLN0332 MER0331 MNG0331 MNG1101 OTA0221 OTA1101 OTA1102 PAK0331 PEN0221 PEN0331 PEN1101 ROS0221 ROS1101 TAK0331 WIR0331
HLY, HLY0331 TMN0551 TWH0331
WKM, CBG0111 EDG0331 HAM0111 HAM0331 HAM0551 HIN0331 HTI0331 KAW0111 KAW0112 KAW0113 KIN0111 KIN0112 KIN0331 KMO0331 KPU0661 LFD1101 LFD1102 MAT1101 MTI2201 MTM0111 MTM0331 NAP2201 OKI0111 OKE1101 OWH0111 ROT0111 ROT0331 TGA0111 TGA0331 TKH0111 TMI0331 TMU0111 TRK0111 WAI0111 WHU0331 WKM2201 WKO0331 WRK0331
NPL, CST0331 HUI0331 HWA0331 HWA0332 MNI0111 MRA0111 NPL0331 OPK0331 SFD0331 WVY0111
TKU, TKU0331
WHI, FHL0331 GIS0501 RDF0331 TUI0111 WHI0111 WHI2201 WRA0111 WTU0331
BPE, BPE0331 BPE0551 BRK0331 DVK0111 LTN0331 MGM0331 MHO0331 MTN0331 MTR0331 NPK0331 OKN0111 ONG0331 TNG0111 TNG0551 TWC2201 WDV0111 WDV1101 WGN0331 WPW0331
HAY, CPK0111 CPK0331 GFD0331 GYT0331 HAY0111 HAY0331 KWA0111 MLG0111 MLG0331 MST0331 PNI0331 PRM0331 TKR0331 UHT0331 WIL0331 WWD1102 WWD1103
STK, ARG1101 BLN0331 MOT0111 MPI0661 STK0331
KIK, KIK0111 MCH0111
IGH, DOB0331 GYM0661 HKK0661 KUM0661 IGH1101 WMG1101 WPT0111 ORO1101 ORO1102 RFN1101 RFN1102 ATU1101
ISL, ABY0111 ADD0111 ADD0661 APS0111 ASB0331 ASB0661 ASY0111 BRY0111 BRY0661 CLH0111 COL0111 CUL0331 HOR0331 HOR0661 ISL0331 ISL0661 KAI0111 KKA0331 MLN0661 MLN0664 OTI0111 PAP0111 PAP0661 SBK0331 SPN0331 SPN0661 TIM0111 TKA0331 TMK0331 WPR0331 WPR0661
TWZ, BPD1101 BPT1101 NSY0331 OAM0331 STU0111 TWZ0331 WTK0331
ROX, CML0331 CYD0331 FKN0331
HWB, BAL0331 BWK1101 HWB0331 HWB0332 PAL0331 PAL1101 SDN0331 TMH2201
TIW, BDE0111 EDN0331 GOR0331 INV0331 NMA0331 TWI2201
MAN, MAN