OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
113,KPO-TMU-A,110,COMMISSIONED,Karapiro - Te Awamutu A,TRANSLINE,110 TRANSLINE,22277.670225802,dfd0caf9-320c-4e09-aebc-74adf2e78195
114,LCH-KIN-A,110,COMMISSIONED,Lichfield - Kinleith A,TRANSLINE,110 TRANSLINE,19201.1989155143,8cbab1d7-e9b3-4e5c-b12d-bf33c74ab760
115,LCH-KIN-B,110,COMMISSIONED,Lichfield - Kinleith B,TRANSLINE,110 TRANSLINE,22398.7755785369,17059053-7d1d-4d47-9640-473311d54c1b
116,MAN-TWI-A,220,COMMISSIONED,Manapouri - Tiwai A,TRANSLINE,220 TRANSLINE,171415.681726564,3c9108b8-4b7e-4b6b-b170-48e0c8069ed7
117,MDN-MPE-A,110,COMMISSIONED,Marsden - Maungatapere A,TRANSLINE,110 TRANSLINE,29289.4405971627,da23a7da-12c7-4185-8bac-aaef44d3f92b
118,MER-TAK-A,110,COMMISSIONED,Meremere - Takanini A,TRANSLINE,110 TRANSLINE,15609.4949006882,55ab75ef-e06d-401b-b0c3-25ba67b85fe6
122,MNI-DEV-A,110,COMMISSIONED,Motunui - Deviation A,TRANSLINE,110 TRANSLINE,25095.4422123495,2783d4bb-0bb3-4c1b-aa89-cdb223ce13a2
123,MST-UHT-A,110,COMMISSIONED,Masterton - Upper Hutt A,TRANSLINE,110 TRANSLINE,54546.0116495105,ca3688dc-f63d-4b83-b62e-4d365fc8793e
124,MTI-WKM-A,220,COMMISSIONED,Maraetai - Whakamaru A,TRANSLINE,220 TRANSLINE,9261.06773221723,522aad35-30d6-4f82-a1d0-5cd15b8f4618
125,MTI-WKM-B,220,COMMISSIONED,Maraetai - Whakamaru B,TRANSLINE,220 TRANSLINE,9282.6032043683,b5215b94-10a1-4501-ac13-2b60d948614f
126,MTI-WPA-A,220,COMMISSIONED,Maraetai - Waipapa A,TRANSLINE,220 TRANSLINE,10338.9966703278,53a01f95-e8c6-432d-960b-8bc92680add8
127,NMA-TMH-A,220,COMMISSIONED,North Makarewa - Three Mile Hill A,TRANSLINE,220 TRANSLINE,198809.866080121,774079c3-ab5b-44c7-8008-3a8309984f6c
128,NPL-SFD-A,220,COMMISSIONED,New Plymouth - Stratford A,TRANSLINE,220 TRANSLINE,44722.2236524283,c54df21b-1d29-49dd-a76a-2a93e8d2fbf9
129,OHA-TWZ-A,220,COMMISSIONED,Ohau A - Twizel A,TRANSLINE,220 TRANSLINE,8655.86013553831,e83065ef-db0f-46cb-a2b1-9db031a6391b
130,OHK-EDG-A,220,COMMISSIONED,Ohakuri - Edgecumbe A,TRANSLINE,220 TRANSLINE,95693.3275929876,4e280f3e-9d32-45cb-a452-a147860f5249
131,OKE-TMI-A,110,COMMISSIONED,Okere - Te Matai A,TRANSLINE,110 TRANSLINE,26174.1506031375,b7dff6a3-3fc6-41d4-a213-c3670dc46db5
132,OKI-WRK-A,220,COMMISSIONED,Ohaaki - Wairakei A,TRANSLINE,220 TRANSLINE,22971.9179522816,3e110e54-7406-4d07-a4c3-8e63ebb00f6c
133,OPK-SFD-A,110,COMMISSIONED,Opunake - Stratford A,TRANSLINE,110 TRANSLINE,39342.669490964,8bed72c0-922c-493c-9dd3-227dcc3508c2
135,OWH-DEV-A,110,COMMISSIONED,Owhata - Deviation A,TRANSLINE,110 TRANSLINE,11680.5112907432,4ef9589a-e70f-439f-8fa0-18f0a73ee984
136,PAK-PEN-B-CBL,220,COMMISSIONED,Pakuranga - Penrose B Cable,CABLE,220 CABLE,9005.52479315407,2d72166b-2637-4bf1-a0fd-39f1a8bd1e9c
137,PAO-TEE-A,110,COMMISSIONED,Piako - Tee A,TRANSLINE,110 TRANSLINE,2484.47217059586,aa553a52-7918-48d1-a33c-64578070381e
138,PEN-ROS-A,110,COMMISSIONED,Penrose - Mt Roskill A,TRANSLINE,110 TRANSLINE,10531.9940303195,8ce0b40f-d60f-4089-bd8d-23ad4bfbf341
139,PKK-TKR-A,110,COMMISSIONED,Paekakariki - Takapu Road A,TRANSLINE,110 TRANSLINE,8086.34290000586,3c702f49-f8d0-4ebd-ad5b-7182a42af1f3
140,PPI-THI-A,220,COMMISSIONED,Poihipi - Te Mihi A,TRANSLINE,220 TRANSLINE,1669.20590105492,8c663239-5af5-42cb-b20d-a65e74495d7e
141,PRM-TEE-A,220,COMMISSIONED,Paraparaumu - Tee A,TRANSLINE,220 TRANSLINE,1343.89048825726,104a8715-9095-4bcb-9eb3-95b692b4f8af
142,PRM-TEE-B,220,COMMISSIONED,Paraparaumu - Tee B,TRANSLINE,220 TRANSLINE,872.700924436204,a659663a-e828-4c99-8a2e-318240a7be53
143,RDF-WHI-A,220,COMMISSIONED,Redclyffe - Whirinaki A,TRANSLINE,220 TRANSLINE,23305.9015212972,47db2d49-3506-4240-9dd8-c57a96cf9d20
144,RDF-WTU-A,220,COMMISSIONED,Redclyffe - Whakatu A,TRANSLINE,220 TRANSLINE,9312.02351127233,61e55dbf-f160-488e-9d1b-b182384f92e8
145,ROX-ISL-A,220,COMMISSIONED,Roxburgh - Islington A,TRANSLINE,220 TRANSLINE,375948.339775895,d253899c-b772-49ac-9791-fb157ed5fad4
146,ROX-TMH-A,220,COMMISSIONED,Roxburgh - Three Mile Hill A,TRANSLINE,220 TRANSLINE,101786.834027877,7216960a-33e0-466c-836b-8844707fddea
147,RTO-HTI-A,110,COMMISSIONED,Rangitoto Hills - Hangatiki A,TRANSLINE,110 TRANSLINE,14154.6104738814,bb08aaf7-2309-489c-9090-93ba7cad7928
148,SBK-WPR-A,66,COMMISSIONED,Southbrook - Waipara A,TRANSLINE,66 TRANSLINE,34897.0268998183,b9d38eb6-ac8f-40de-bd74-b9971b193146
149,SFD-TMN-A,220,COMMISSIONED,Stratford - Taumarunui A,TRANSLINE,220 TRANSLINE,109764.733710719,f2b36423-70fb-4eed-9a69-f936f2ba46ef
150,SMK-OTB-A,11,COMMISSIONED,South Makara - Oteranga Bay A,TRANSLINE,11 TRANSLINE,5073.40466609844,85004dc4-7ee3-4e8b-93d2-77d44d65ba31
151,SMK-OTB-A1-CBL,11,COMMISSIONED,SMK-OTB-A1-CBL Section,CABLE,11 CABLE,545.070080082042,cee43d9f-77e1-4967-9d2b-d4ec3fb6b949
153,THI-DEV-A,220,COMMISSIONED,Te Mihi - Deviation A,TRANSLINE,220 TRANSLINE,481.362962710849,1906d7ba-78df-4493-96a8-bf4c179fdaec
154,TIM-DEV-A,220,COMMISSIONED,Timaru - Deviation A,TRANSLINE,220 TRANSLINE,32711.9909708183,3d789954-a566-483f-9084-5122067daae7
155,TKA-TIM-A,110,COMMISSIONED,Tekapo A - Timaru A,TRANSLINE,110 TRANSLINE,79611.9267108977,c9a805f8-0ea9-4298-a36d-00d1941df4a6
156,TKB-DEV-A,220,COMMISSIONED,Tekapo B - Deviation A,TRANSLINE,220 TRANSLINE,3089.00844021533,62b3016b-0356-48ff-853c-b44d63c6908c
158,TKR-WIL-A,110,COMMISSIONED,Takapu Road - Wilton A,TRANSLINE,110 TRANSLINE,18603.2096451841,845e68c0-1a3e-4a73-9c06-4cc9b11f7964
159,TNG-TEE-A,220,COMMISSIONED,Tangiwai - Tee A,TRANSLINE,220 TRANSLINE,10602.5553762937,d355c804-0902-4c45-8f6f-96bde7394f6a
160,TRK-DEV-A,110,COMMISSIONED,Tarukenga - Deviation A,TRANSLINE,110 TRANSLINE,1908.89857316929,c541566d-3233-435c-bcba-fd6881acfbc0
161,TRK-DEV-B,110,COMMISSIONED,Tarukenga - Deviation B,TRANSLINE,110 TRANSLINE,4842.73416617163,c0bb7932-8a88-4d18-99ee-b13fc06a90ef
162,TUI-BPE-A,110,COMMISSIONED,Tuai - Bunnythorpe A,TRANSLINE,110 TRANSLINE,93305.758293029,62d1c558-74f1-4347-9f59-543e7372a62c
163,TWC-TEE-A,220,COMMISSIONED,Tararua Wind Central - Tee A,TRANSLINE,220 TRANSLINE,5875.64464165871,f42f8299-2033-4d30-b33a-0917450b1c41
164,TWH-DEV-A,220,COMMISSIONED,Te Kowhai - Deviation A,TRANSLINE,220 TRANSLINE,2029.18832730599,badea477-d67f-4cd8-a0e0-9c71a9f0e3f1
165,TWZ-DEV-A,220,COMMISSIONED,Twizel - Deviation A,TRANSLINE,220 TRANSLINE,7851.3058532003,82d4a409-9c70-471d-b6cd-c7b9710ffa0b
166,WHU-WKO-A,110,COMMISSIONED,Waihou - Waikino A,TRANSLINE,110 TRANSLINE,20643.5471352041,07fff701-b627-461a-afc0-88265f183caa
167,WMG-WPT-A,110,COMMISSIONED,Waimangaroa - Westport A,TRANSLINE,110 TRANSLINE,23527.1083181952,b3f11c93-034e-4b48-85a7-49f17df8f6b0
168,WRK-WHI-A,220,COMMISSIONED,Wairakei - Whirinaki A,TRANSLINE,220 TRANSLINE,114161.396627562,1aaa46e1-7144-4240-b13a-3235bfd566f7
169,WRK-WKM-C,220,COMMISSIONED,Wairakei - Whakamaru C,TRANSLINE,220 TRANSLINE,40511.8490943764,8cd2a924-bdf1-4db6-8cf7-808ba4c9994b
170,WWD-TEE-A,110,COMMISSIONED,West Wind - Tee A,TRANSLINE,110 TRANSLINE,3165.45124681488,4cd0fe45-df2c-48ae-8cb9-96a46c94e28c
174,HOB-WRD-A-CBL,220,COMMISSIONED,Hobson Street - Wairau Road Cable,CABLE,220 CABLE,9620.66700254494,3d387e39-83ac-4921-8d24-ad71da9242f6
175,HAM-MER-B2-CBL-Z,110,COMMISSIONED,Hamilton Meremere B2 Cable Section,CABLE,110 CABLE,2475.59996723914,7157113e-2f19-4fca-9001-4fda2c177a7c
176,HAM-MER-B1-CBL-Z,110,COMMISSIONED,Hamilton Meremere B1 Cable Section,CABLE,110 CABLE,2301.26031917601,130ee3f7-5606-4bcc-af33-ef6165420134
177,HAM-MER-B,110,COMMISSIONED,Hamilton - Meremere B,TRANSLINE,110 TRANSLINE,58802.2814774329,77191deb-a139-4ebe-bd11-f90d0e365cbe
178,EDG-KAW-A,110,COMMISSIONED,Edgecumbe - Kawerau A,TRANSLINE,110 TRANSLINE,13948.624775445,dc565059-cab6-4839-a595-43d982eb7470
179,EDG-KAW-B,110,COMMISSIONED,Edgecumbe - Kawerau B,TRANSLINE,110 TRANSLINE,14283.3805702382,96b1d0e3-3271-4f03-9adf-17f785648110
180,GOR-TEE-A,220,COMMISSIONED,Gore - Tee A,TRANSLINE,220 TRANSLINE,2133.3092856485,0cfa5706-df30-41b0-a1d1-51f1d67f0cda
181,ALB-HEN-A,110,COMMISSIONED,Albany - Henderson A,TRANSLINE,110 TRANSLINE,15765.3807519803,040f6099-36d8-4e87-b513-4c788d7d7b8b
182,ALB-HEN-A1-CBL,110,COMMISSIONED,ALB-HEN-A1 CCT1 Cable Section,CABLE,110 CABLE,3885.22627434011,46589c6b-ddaf-4d43-90b2-1d2fb3e34e7b
183,BHL-WHN-A,400,COMMISSIONED,Brownhill - Whakamaru North A,TRANSLINE,400 TRANSLINE,189053.734997568,b7695aea-3d79-45c2-9179-c9a1bee22b5b
184,BOB-OTA-A,110,COMMISSIONED,Bombay - Otahuhu A,TRANSLINE,110 TRANSLINE,29955.0714335198,56cc55c0-8da1-4768-8010-e44dc30f69e8
185,BPE-ONG-A,110,COMMISSIONED,Bunnythorpe - Ongarue A,TRANSLINE,110 TRANSLINE,189310.16986535,adce5e36-2b2d-4e82-9dfa-66e2502c51fb
186,BPE-WKM-A,220,COMMISSIONED,Bunnythorpe - Whakamaru A,TRANSLINE,220 TRANSLINE,230261.01343969,b376229c-7a95-4312-ba59-b9427736be47
187,BPE-WKM-B,220,COMMISSIONED,Bunnythorpe - Whakamaru B,TRANSLINE,220 TRANSLINE,230631.66991014,2dd7e4fd-6050-4438-a927-dddde053b2e9
188,BPE-WRK-A,220,COMMISSIONED,Bunnythorpe - Wairakei A,TRANSLINE,220 TRANSLINE,215057.139858066,79721973-99f8-4ef3-b363-4dede8e1492e
189,HAI-TGA-A,110,COMMISSIONED,Hairini - Tauranga A,TRANSLINE,110 TRANSLINE,3805.43307263115,8b1f8bd0-77f3-49e8-930a-1b6bc7ff8483
190,HAI-TRK-A,220,COMMISSIONED,Hairini - Tarukenga A,TRANSLINE,220 TRANSLINE,39633.3648214313,1ded94f1-7599-4fde-8120-5b8cd14156a6
191,HAM-MER-A,110,COMMISSIONED,Hamilton - Meremere A,TRANSLINE,110 TRANSLINE,58844.4895442499,ca014278-95cf-49bf-ab5a-0df712cc0936
192,HAM-MER-A1-CBL,110,COMMISSIONED,HAM-MER-A Cable Section,CABLE,110 CABLE,857.224254885122,d81c468c-155a-45f8-ac28-462c7bb75c26
193,HEN-OTA-A,220,COMMISSIONED,Henderson - Otahuhu A,TRANSLINE,220 TRANSLINE,33182.3739895602,0b3a1e80-1fad-44ca-b7de-05cffd74329f
194,HLY-OTA-A,220,COMMISSIONED,Huntly - Otahuhu A,TRANSLINE,220 TRANSLINE,76954.6968442372,075c528f-bfbb-4251-a830-59ef514b1ce9
195,INV-MAN-A,220,COMMISSIONED,Invercargill - Manapouri A,TRANSLINE,220 TRANSLINE,145846.630038183,0b1bb0c1-851d-4c31-9cb4-4aa9af4f210a
196,KHD-TKR-A,33,COMMISSIONED,Khandallah - Takapu Road A,TRANSLINE,33 TRANSLINE,11655.6867693132,784d690e-ff3f-4db0-91c3-0fc89eef64da
197,KWA-WIL-A,110,COMMISSIONED,Kaiwharawhara - Wilton A,TRANSLINE,110 TRANSLINE,3234.93965585922,1a4caa77-dc35-4f98-bca9-99efd2b2964f
198,KWA-WIL-A1-CBL,110,COMMISSIONED,Kaiwharawhara - Wilton A,CABLE,110 CABLE,492.106454128432,553b4187-1acd-4bb4-9850-b1a266fec585
199,KWA-WIL-A2-CBL,110,COMMISSIONED,Kaiwharawhara - Wilton A,CABLE,110 CABLE,494.178470858231,2d9f823f-a2ae-4ef9-bd29-3b8e0ef0f3b5
200,MGM-MST-A,110,COMMISSIONED,Mangamaire - Masterton A,TRANSLINE,110 TRANSLINE,56427.5232942304,41b08f6e-fd8c-41e0-bab9-4ceb7f88c178
201,MGM-WDV-A,110,COMMISSIONED,Mangamaire - Woodville A,TRANSLINE,110 TRANSLINE,26448.3862208373,575ce9b5-d7ea-4102-bcb7-aace668fb2f7
202,MNG-OTA-A,110,COMMISSIONED,Mangere - Otahuhu A,TRANSLINE,110 TRANSLINE,3994.63299719912,4a310856-fb0b-4d2e-b8e7-7a7559098130
203,MNG-ROS-A,110,COMMISSIONED,Mangere - Mt Roskill A,TRANSLINE,110 TRANSLINE,12274.8255617062,6b6a7c3d-7bb3-42ad-8c99-2d7d7bd7d19c
204,OTA-PAK-A,220,COMMISSIONED,Otahuhu - Pakuranga A,TRANSLINE,220 TRANSLINE,5886.95791093841,a8a00750-9f67-4199-b70f-665369d5a5c6
205,OTA-PEN-A,110,COMMISSIONED,Otahuhu - Penrose A,TRANSLINE,110 TRANSLINE,7373.83390953843,c752be28-9baf-4910-9234-89fb41c8a7c0
206,OTA-PEN-A1-CBL,110,COMMISSIONED,OTA-PEN-A1-CBL Section,CABLE,110 CABLE,2664.56690733472,7af51d5a-97aa-44e7-9961-7a29868be60d
207,OTA-PEN-B,110,COMMISSIONED,Otahuhu - Penrose B,TRANSLINE,110 TRANSLINE,7317.26139341088,355147b7-6da8-4aa2-8a66-73821a0505e3
208,OTA-PEN-B-CBL,110,COMMISSIONED,,CABLE,110 CABLE,5367.58957347904,cf532da7-2285-4a80-9671-2743005a64a0
209,OTA-PEN-C,220,COMMISSIONED,Otahuhu - Penrose C,TRANSLINE,220 TRANSLINE,10913.0581205298,d66e262b-6d01-4e05-a033-9bad974f5289
210,OTA-WKM-C,220,COMMISSIONED,Otahuhu - Whakamaru C,TRANSLINE,220 TRANSLINE,192292.688522047,9b43389c-330f-4f13-bdbc-c38ba115a2dc
211,OTB-HAY-A,350,COMMISSIONED,Oteranga Bay - Haywards A,TRANSLINE,350 TRANSLINE,37390.4953753747,b0581b0c-e5a7-46e3-ae02-878224f3060c
212,RDF-TUI-A,110,COMMISSIONED,Redclyffe - Tuai A,TRANSLINE,110 TRANSLINE,97196.4947540718,26449b3b-9fec-4c54-9e90-63880ed535de
213,ROT-TRK-A,110,COMMISSIONED,Rotorua - Tarukenga A,TRANSLINE,110 TRANSLINE,11802.3141824532,5d240085-47a2-4efe-adbc-cca44c64c177
214,RPO-DEV-A,220,COMMISSIONED,Rangipo - Deviation A,TRANSLINE,220 TRANSLINE,6292.84995071411,1d583b76-36a4-42a7-95b1-88a6004d0cb6
215,THW-DEV-A,0,COMMISSIONED,Te Hikowhenua - Deviation A,TRANSLINE,0 TRANSLINE,4451.01927998509,b978352c-5d07-4799-9c7d-b5c277f18fcc
216,WGN-SFD-A,110,COMMISSIONED,Wanganui - Stratford A,TRANSLINE,110 TRANSLINE,109979.74791385,11a5b65e-a803-4db4-aae2-6fde27d3542b
218,BPE-WGN-B,110,COMMISSIONED,Bunnythorpe - Wanganui B,TRANSLINE,110 TRANSLINE,62135.2364970885,60830a02-d5cb-415d-aab7-03a6a59a9553
219,COL-OTI-A,66,COMMISSIONED,Coleridge - Otira A,TRANSLINE,66 TRANSLINE,83547.9393275153,affe5e1b-d70b-4974-907e-4715727ebc95
220,EDG-WAI-B,110,COMMISSIONED,Edgecumbe - Waiotahi B,TRANSLINE,110 TRANSLINE,35235.7924122837,292c1a6b-046e-416d-9ba6-7582528c7f8c
221,GFD-HAY-A,110,COMMISSIONED,Gracefield - Haywards A,TRANSLINE,110 TRANSLINE,15292.1074425542,c54d8d6d-1702-4f59-b472-fdf684956d60
222,HAM-DEV-A,220,COMMISSIONED,Hamilton - Deviation A,TRANSLINE,220 TRANSLINE,6198.34773449291,7950d423-f338-456e-aa18-6fbda7f43ed8
223,INV-ROX-A,220,COMMISSIONED,Invercargill - Roxburgh A,TRANSLINE,220 TRANSLINE,132746.888889313,67de28e7-c9e3-4235-b7bd-241d64d331d8
224,INV-ROX-B,220,COMMISSIONED,Invercargill - Roxburgh B,TRANSLINE,220 TRANSLINE,127062.936426973,17b39195-a4fa-4340-ae0c-0eea5cc85a72
225,ISL-SBK-A,66,COMMISSIONED,Islington - Southbrook A,TRANSLINE,66 TRANSLINE,25685.8305688488,df723378-cf99-4fbd-90a6-897fdfbf9a80
226,KAW-MAT-A,110,COMMISSIONED,Kawerau - Matahina A,TRANSLINE,110 TRANSLINE,9905.21158643644,3ef94626-5ae1-45d1-9678-fecdc4250a46
227,KPU-WKO-A,110,COMMISSIONED,Kopu - Waikino A,TRANSLINE,110 TRANSLINE,33561.3658577826,67ce09e1-4819-4452-ba11-a84dcc6078c3
228,NPK-RTR-A,110,COMMISSIONED,National Park - Retaruke A,TRANSLINE,110 TRANSLINE,10175.762568689,12729455-b17e-46f5-9602-d3d3dc24886f
229,OTA-WKM-A,220,COMMISSIONED,Otahuhu - Whakamaru A,TRANSLINE,220 TRANSLINE,190984.383208745,31bb6b50-bdb2-4566-976d-084032d44342
230,OTA-WKM-B,220,COMMISSIONED,Otahuhu - Whakamaru B,TRANSLINE,220 TRANSLINE,191133.127840597,b29d7f01-4555-4b0c-85b6-53c7efe0e000
231,ROX-TWZ-A,220,COMMISSIONED,Roxburgh - Twizel A,TRANSLINE,220 TRANSLINE,175153.700431391,f117b14f-457a-4da0-b5b7-088db1f62995
1838,WRK-WKM-A,220,COMMISSIONED,Wairakei - Whakamaru A,TRANSLINE,220 TRANSLINE,56477.9383257334,4f85ad0c-6d8c-4765-b784-39cf0947e581
1840,JRD-TEE-A,110,COMMISSIONED,Junction Road - Tee A,TRANSLINE,110 TRANSLINE,358.810852978533,668a8ca3-e16c-44ba-8b78-758c90cd0188
